index, job_title, salary_estimate, job_description, rating, company_name, location, size, founded, type_of_ownership, industry, sector, revenue, skills, company_age
NA,"(USA) Director, Data Science",$167K - $225K (Employer est.),NA,4.1,Walmart,"Sunnyvale, CA",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),"Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 6 years' experience……
Skills: Web accessibility, TensorFlow, Search engines, Spark, R",NA
NA,Probabilistic Machine Learning Engineer,$169K - $266K (Employer est.),NA,4.0,Normal Computing Corporation,Remote,NA,NA,NA,NA,NA,NA,"Collaborate with research scientists and data scientists to develop new models and techniques for probabilistic machine learning.…
Skills: TensorFlow, Data modeling, Spark, Research, C++",NA
NA,Lead Data Scientist - Network Optimization,$92K - $119K (Glassdoor est.),NA,3.9,CVS Health,"New York, NY",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"Assist leaders in developing compelling business cases, cost-benefit analyses, and value propositions for new data science and analytics projects.…
Skills: TensorFlow, Google Cloud Platform, Analysis skills, Machine learning, Distributed systems",NA
NA,"Software Engineer III, Machine Learning, Search",$120K - $201K (Glassdoor est.),NA,4.0,Google,"Mountain View, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"Master's degree or PhD in Computer Science or related technical field. We're looking for engineers who bring fresh ideas from all areas, including information……
Skills: TensorFlow, Computer science, Data structures, Data analysis skills, Machine learning",NA
NA,Digital Marketing Analytics Lead for HP.com,$120K (Employer est.),NA,3.9,Hewlett Packard,"Spring, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"3+ years' experience in experimentation design, A/B testing, propensity score analysis, linear regression modelling and/or probabilistic modelling at scale.…
Skills: Web design, Statistics, Power BI, Google AdWords, Web analytics",NA
NA,"Software Engineer (Cloud), Ai & Data Platforms",$72K - $106K (Glassdoor est.),NA,3.7,Apple,"Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"BS in Computer Science or related field or equivalent. Technical skills with programming languages such as python, micro-service development using Java etc,……
Skills: Computer science, Kubernetes, DevOps, Google Cloud Platform, Java",NA
NA,Research Scientist: Beamforming and Machine Learning,$83K - $131K (Glassdoor est.),NA,3.5,Meta,"Redmond, WA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.…
Skills: Computer science, MATLAB, Signal processing, C++, Machine learning",NA
NA,Senior Machine Learning Engineer I,$185K - $291K (Employer est.),NA,3.6,ICON,"Austin, TX",10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),"Bachelor's degree in computer science, computer engineering, mathematics, or equivalent technical degree and industry experience.…
Skills: Computer science, Machine learning, Deep learning, Data science, AI",NA
NA,"Senior Data Engineer (Python, Spark, AWS)",$68K - $174K (Employer est.),NA,4.6,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding……
Skills: Azure, Big data, Spark, Google Cloud Platform, Java",NA
NA,SVP / Data Science / genAI Development Lead,$139K - $208K (Employer est.),NA,3.8,Citi,"Tampa, FL",10000+ Employees,1812,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),"Then bring your extensive coding / data science experience and passion and be part of a team building a green-field project which will have real non-trivial……
Skills: TensorFlow, Kubernetes, Relational databases, Software deployment, Java",NA
NA,Data Engineer,$134K - $257K (Employer est.),NA,4.3,TMPC,"Tampa, FL",1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable,"Design, develop, and test state-of-the-art Cloud-based database platforms. Possess a minimum of a Bachelor’s degree in a computer science discipline or……
Skills: Computer science, R, Apache Hive, Java, SQL",NA
NA,Senior Product Manager- AI Software,$127K - $188K (Employer est.),NA,4.4,Hewlett Packard,"Palo Alto, CA",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"Master’s degree candidate in data science, computer science, computer engineering, AI/ML, or related field of engineering.…
Skills: Machine learning, Product management, User research, AI, Communication skills",NA
NA,"Manager, Machine Learning",$130K - $180K (Employer est.),NA,4.3,Instrumental,"Palo Alto, CA",51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"3+ years of experience developing, leading, coaching, and mentoring engineers. As a result, product and process problems are caught and solved earlier, before……
Skills: Machine learning, Product management, Mentoring, AI, Leadership",NA
NA,"Manager, Evidence Generation Statistical Programming",$180K - $220K (Employer est.),NA,3.6,"Daiichi Sankyo, Inc.",Remote,10000+ Employees,1899,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),"Responsibilities include: contribute to CRF and SDTM standard development, support develop, implement, and maintain Analysis Data Model (ADaM) dataset and TLF……
Skills: Statistics, Biostatistics, SAS, Statistical analysis, Analysis skills",NA
NA,Data Modernization Specialist Manager (State & Local),$134K - $257K (Employer est.),NA,4.2,Deloitte,"Sacramento, CA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD),"They will also be responsible for leading and driving client sessions and meetings, leading technical teams, and driving project timelines and deliverables.…
Skills: Google Cloud Platform, Machine learning, Natural language processing, Data visualization, AI",NA
NA,"Senior Associate, AI Foundations, Product Management",$80K - $160K (Employer est.),NA,3.8,Capital One,"Chicago, IL",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"At least 1 years of experience in product management or at least 1 years of experience in product design, agile delivery, business analysis, data science, or……
Skills: Military, Business analysis, Machine learning, Product management, Agile",NA
NA,"FDC/SPC Specialist - (3+ years experience - python, SQL, java, hadoop) - Glendale, KY",$48K - $90K (Glassdoor est.),NA,2.8,SK Battery America,Kentucky,Unknown,--,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,"Predictive Analysis & Optimization: Harness AI tools and methods to develop predictive models that preempt process or equipment faults, ensuring maximum uptime……
Skills: TensorFlow, Software troubleshooting, Spark, R, Java",NA
NA,"Manager, Statistical Programming",$84K - $119K (Glassdoor est.),NA,4.0,Moderna,"Cambridge, MA",1001 to 5000 Employees,2011,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"By living our mission, values, and mindsets every day, our people are the driving force behind our scientific progress and our culture. Here’s What You’ll Do:…
Skills: Nutrition, Clinical research, XML, SAS, Relationship management",NA
NA,Research Associate II - Modeling and Simulation,$34.15 - $51.22 Per Hour (Employer est.),NA,3.3,Thermo Fisher Scientific,"Bethesda, MD",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"Our multidisciplinary Modelling and Simulation experts design and implement health economic models that describe complex medical processes to understand and……
Skills: Microsoft Powerpoint, Microsoft Word, Statistics, Microsoft Excel, R",NA
NA,Data Scientist (All Levels),$131K - $184K (Glassdoor est.),NA,3.8,Noblis,"McLean, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),"Senior Expert (SME): Bachelor’s Degree in associated field and 14+ years of relevant experience; Master’s Degree in associated field and 11+ years of relevant……
Skills: TensorFlow, Oracle, Data mining, Kubernetes, Data structures",NA
NA,Senior Software Engineer – Phantom Works Space,$97K - $148K (Glassdoor est.),NA,4.8,BOEING,"Colorado Springs, CO",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,……
Skills: Jira, CI/CD, React, Java, C++",NA
NA,"Director, Supply Chain Finance -Cloud/AI",$79K - $114K (Glassdoor est.),NA,3.8,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"Bachelor's Degree in Business Administration, Accounting, Finance, Economics, Data Science or related field AND 10+ years experience in financial analysis,……
Skills: Financial modeling, Financial analysis, Analysis skills, Accounting, AI",NA
NA,System Vulnerability Analyst 4,$134K - $196K (Glassdoor est.),NA,4.3,RealmOne,Maryland,51 to 200 Employees,--,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"Degree must be in computer science or a related field, engineering electrical engineering, systems engineering, mathematics, computer forensics, cyber security,……
Skills: Information security, Statistical analysis, Analysis skills",NA
NA,Senior Enterprise Applications Architect,$85K - $116K (Glassdoor est.),NA,4.1,Kirkland and Ellis,"Chicago, IL",5001 to 10000 Employees,1909,Company - Private,Legal,Legal,$5 to $10 billion (USD),"Bachelor's degree in computer science, information systems, data science, or related field. Communicating technology target state, roadmap and development……
Skills: Microsoft Powerpoint, Microsoft Word, Computer science, Microsoft Excel, Enterprise software",NA
NA,Data Scientist TS/SCI,$132K - $264K (Employer est.),NA,3.1,TENICA and Associates LLC,"Washington, DC",Unknown,--,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,"Communicate ongoing data science activities, technical findings, and data products for both technical and non-technical customers.…
Skills: TensorFlow, Signal processing, XML, Spark, R",NA
NA,Statistician / Mathematician Consultant,$78K - $90K (Employer est.),NA,4.2,Milestone Solutions,Remote,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,"Excellent communication and presentation skills, with the ability to convey technical concepts to both technical and non-technical audiences.…
Skills: Statistical software, Statistics, SAS, R, Statistical analysis",NA
NA,Artificial Intelligence Assurance Analyst,$97K - $145K (Employer est.),NA,4.3,Booz Allen,"McLean, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),"You will use your AI knowledge to assist in risk analysis and mitigation for various tools, including vulnerability assessments and red teaming and you will……
Skills: FedRAMP, FISMA, Analysis skills, NIST standards, Risk analysis",NA
NA,Senior Manager - Composite Wing Technologies,$142K - $256K (Employer est.),NA,4.0,BOEING,"Tukwila, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,……
Skills: Fabrication, Management, Data science",NA
NA,Product Developer - Python & Machine Learning,$73K - $110K (Glassdoor est.),NA,3.1,"ITS Technology and Logistics, LLC",United States,1001 to 5000 Employees,1984,Company - Private,Rail Transportation,Transportation & Logistics,$100 to $500 million (USD),"Bachelor's degree in Computer Science, Engineering, or a related field. Design, develop, and deploy software solutions and products using Python programming……
Skills: TensorFlow, CI/CD, Git, Machine learning, Software development",NA
NA,R&D Digital Health Product Manager,$82K - $110K (Employer est.),NA,3.9,Takeda Pharmaceutical,"Cambridge, MA",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"Master’s degree or PhD in a relevant field (e.g. electrical engineering, computer science, biomedical engineering, data science), or equivalent work experience.…
Skills: Computer science, Product management, Software development, Scalability, Data science",NA
NA,Senior Business Data Steward- Finance,$124K - $170K (Glassdoor est.),NA,4.0,Truist Bank,"Charlotte, NC",10000+ Employees,2019,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"Bachelor’s or master’s degree in business analytics, computer science, Information Technology, or a related field. The position is described below.…
Skills: English, Analysis skills, Project management, Machine learning, Data analytics",NA
NA,"Associate Director, Cheminformatics Machine Learning & Artificial Intelligence",$64K - $103K (Glassdoor est.),NA,4.3,Bristol-Myers Squibb,"San Diego, CA",10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"For field-based and remote-by-design roles the ability to physically travel to visit customers, patients or business partners and to attend meetings on behalf……
Skills: TensorFlow, Management, R, C++, Drug discovery",NA
NA,Python Machine Learning Developer,$198K - $298K (Employer est.),NA,4.3,Podimetrics,Remote,51 to 200 Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"Communicate findings and insights effectively to technical and non-technical stakeholders through visualizations, reports, and presentations.…
Skills: Data mining, Big data, Spark, SQL, Statistical analysis",NA
NA,"Compliance/Certification Systems Engineers ( Associate, Mid-Level)",$128K - $174K (Employer est.),NA,3.6,BOEING,"Everett, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,……
Skills: Computer science, Project management, Systems engineering, Data science, Root cause analysis",NA
NA,System Engineer II (AI/ML),$69K - $105K (Glassdoor est.),NA,3.3,Arcfield,"Chantilly, VA",1001 to 5000 Employees,2021,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),"Expected to create/brief packages which include technical requirements, implementation plan, risks and success criteria.…
Skills: Program management, Analysis skills, Machine learning, AI, Intelligence community",NA
NA,"Director, Immuno-Metabolism",$112K - $160K (Employer est.),NA,4.1,Merck Sharp & Dohme,"South San Francisco, CA",10000+ Employees,1891,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"The individual will contribute to the design, prioritization, and execution of the CMD strategy, including integration of new technology platforms, human……
Skills: Clinical development, Research, Drug discovery, Data science",NA
NA,"Senior Manager, Pharmaceutical Strategic Business Insights",$167K - $225K (Employer est.),NA,4.0,CVS Health,"Austin, TX",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"Designing and executing well thought-out analyses to answer ambiguously articulated questions. Number of paid holidays, sick time and other time off are……
Skills: Microsoft Powerpoint, Microsoft Excel, Financial modeling, Microsoft Office, SQL",NA
NA,"Software Engineer (AI/ML), Ai & Data Platforms",$96K - $186K (Employer est.),NA,3.4,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"You will develop novel feature engineering, data augmentation, prompt engineering and fine-tuning frameworks that achieve optimal performance on specific tasks……
Skills: TensorFlow, Computer science, Management, Machine learning, Natural language processing",NA
NA,Research Manager – Machine Learning – Microsoft Research AI Frontiers,$160K - $225K (Employer est.),NA,2.9,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"We seek a Research Manager with a demonstrated ability for technical work and a proven record of leadership to take on the role of managing a team of……
Skills: TensorFlow, Research, Machine learning, Natural language processing, AI",NA
NA,Sr Mgr Verticals Strategy & Ops Insights,$90K - $130K (Employer est.),NA,3.7,eBay,"San Jose, CA",10000+ Employees,1995,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"Be Accountable: Define business objectives and measure progress in achieving results; demonstrate strong commitment towards goals and driving complex projects……
Skills: R, Data analysis skills, Analysis skills, Presentation skills, Data science",NA
NA,Sr. Decision Scientist,$47K - $79K (Glassdoor est.),NA,3.7,CVS Health,"Woonsocket, RI",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"Duties include: apply data mining, data modeling, machine learning, statistical analyses, and predictive and descriptive modeling to extract and manipulate data……
Skills: Jira, Power BI, Data mining, SAS, Spark",NA
NA,"Director, RWD Product Management",$88K - $122K (Glassdoor est.),NA,4.2,MMIT,Remote,201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"Strong technical background and understanding of RWD, data science, and their applications in product development.…
Skills: Product development, Machine learning, Continuous improvement, Product management, Clinical trials",NA
NA,"Sr. Manager, Partner Enablement",$147K - $260K (Employer est.),NA,3.8,Snowflake,"San Mateo, CA",5001 to 10000 Employees,2012,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),"A minimum of 10+ years of related experience as with a focus in technical partner enablement, sales engineering, &/or technical product marketing, enablement,……
Skills: Program management, Management, Taxonomy, Data science, Communication skills",NA
NA,Principal Applied Scientist Manager - Microsoft Weather,$136K (Employer est.),NA,3.4,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"Bachelor's Degree in Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field AND 6+ years related experience (e.g.,……
Skills: TensorFlow, Statistics, Management, Research, Presentation skills",NA
NA,AI Engineer,$184K - $246K (Glassdoor est.),NA,3.8,Barrow Wise Consulting,Remote,1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable,"Master's Degree or Higher in Engineering, Computer Science, Mathematics, or related field. Design and develop scalable solutions using AI, deep learning models,……
Skills: TensorFlow, Machine learning, AI, Python",NA
NA,"Medical Science Liaison, Endocrinology/Rare Disease",$126K - $149K (Employer est.),NA,4.1,Inizio Engage,"Los Angeles, CA",5001 to 10000 Employees,2022,Company - Private,--,--,Unknown / Non-Applicable,"As customer-facing field-based medical experts, the MSL supports our client’s products, pipeline, and therapeutic areas by advancing scientific and……
Skills: Microsoft Powerpoint, Microsoft Excel, Writing skills, Microsoft Office, Clinical trials",NA
NA,Senior Business Analyst- Responsible AI,$80K - $122K (Glassdoor est.),NA,3.6,HCA Healthcare,"Nashville, TN",10000+ Employees,1968,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"Design and build analytics in spreadsheets, dashboards, and/or advanced scripting tools with sound statistical methods to answer business, operations, clinical,……
Skills: AI, Leadership, Analytics",NA
NA,Business Analyst II,$94K - $139K (Glassdoor est.),NA,4.1,AdventHealth Orlando,"Orlando, FL",5001 to 10000 Employees,1908,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"Associate degree with four (4) or more years of relevant experience, preferably in a related field such as: business, health care, engineering, information……
Skills: Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Microsoft Access",NA
NA,Sr. Analyst - Strategic Analytics,$59K - $102K (Glassdoor est.),NA,3.8,ConsumerAffairs,Remote,201 to 500 Employees,1998,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,"Bachelor’s Degree in analytics, mathematics, data science, BI or related field or equivalent work experience. Achieve a high level of expertise in data analysis……
Skills: Microsoft Powerpoint, Power BI, Data modeling, Microsoft Excel, Sales",NA
NA,Solution Engineer (Pre-Sales) Bilingual,$95K - $142K (Glassdoor est.),NA,4.4,Cognite,Remote,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Understanding of complete data analytics stack and workflow, from ETL to data platform design to BI and analytics tools. 401(k) with 4% employer matching.…
Skills: Bilingual, Spanish, Computer science, Sales, English",NA
NA,"Associate Director, Global Supply Planning",$71K - $111K (Glassdoor est.),NA,4.4,Cytokinetics,"Radnor, PA",201 to 500 Employees,1997,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"Establish, own, and execute Key Performance Indicators (KPIs) relevant to superior brand management and supply performance. Proficient in using key Lean Tools.…
Skills: Power BI, Microsoft Excel, Data mining, Management, Supply chain",NA
NA,Chief of Data Integration and Information Technology,$200K - $364K (Employer est.),NA,3.8,The Henry M. Jackson Foundation for the Advancement of Military Medicine,"Bethesda, MD",1001 to 5000 Employees,1983,Nonprofit Organization,Research & Development,Management & Consulting,$100 to $500 million (USD),"Knowledge of emerging technologies with an emphasis on cloud computing, systems architecture, cyber security, strategy development, software integration,……
Skills: Statistics, Computer science, Cloud architecture, Machine learning, IT",NA
NA,Data Partnerships Manager II,$110K - $171K (Glassdoor est.),NA,4.0,ICON,"Austin, TX",10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),"Bachelor's degree in Business, Data Science, or a related field. Negotiate mutually beneficial data partnerships and licensing agreements.…
Skills: Management, Business development, Project management, Data management, APIs",NA
NA,"Software Engineer (Big Data), Ai & Data Platforms",$80K - $90K (Employer est.),NA,4.0,Apple,"Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"You are able to communicate effectively, both written and verbal, with technical and non-technical multi-functional teams.…
Skills: Computer science, Data modeling, Cloud infrastructure, Azure, Kubernetes",NA
NA,Mid-Level Supply Chain Analyst – Business Intelligence and Analytics Specialist - Tableau and SAP,$110K - $220K (Employer est.),NA,3.9,BOEING,"Renton, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"3+ years of experience in the documentation, analysis, research, and design of solutions within a medium to large enterprise using SAP-ECC and a release……
Skills: Microsoft Powerpoint, Microsoft Excel, Microsoft Outlook, Data mining, Management",NA
NA,"Staff, Data Scientist",$85K - $125K (Employer est.),NA,3.8,Walmart,"Hoboken, NJ",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),"Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 4 years' experience……
Skills: Web accessibility, TensorFlow, Power BI, Microsoft Excel, Calculus",NA
NA,"Senior Engineer, Research & Development",$80K - $129K (Glassdoor est.),NA,4.0,Raytheon,"Sterling, VA",10000+ Employees,2020,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Strong background in math, physics, engineering, computer vision, or data science. Strong foundation in math, physics, engineering, computer vision, or data……
Skills: MATLAB, Computer vision, Software deployment, Research, Java",NA
NA,STAFF SCIENTIST - Su Lab,$125K - $169K (Glassdoor est.),NA,3.8,The Scripps Research Institute,"San Diego, CA",1001 to 5000 Employees,1997,Nonprofit Organization,Research & Development,Management & Consulting,$25 to $100 million (USD),"Employer Contributed Retirement Plan – Depending on eligibility, employees receive an employer contributed retirement plan (no employee contribution required)……
Skills: Drug discovery, Machine learning, Cleaning, Data science, Graph databases",NA
NA,Senior Group Analyst,$39.59 Per Hour (Employer est.),NA,3.4,Snapchat,"New York, NY",5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"Adopt latest tools and develop use cases and best practices; share across the sales team and train teams when necessary. Campaigns in an analytics capacity.…
Skills: Statistics, Public speaking, SQL, C, Organizational skills",NA
NA,Senior Manager of Data Solutions Engineering (Hybrid),$50K - $79K (Glassdoor est.),NA,3.9,Holland & Knight LLP,"Dallas, TX",1001 to 5000 Employees,1968,Company - Private,Legal,Legal,$500 million to $1 billion (USD),"The Senior Manager works with technology, knowledge, business services, and practice teams to discover the firm’s key operational data, assess intelligence and……
Skills: Practice management, Data modeling, Azure, Management, Business intelligence",NA
NA,Mid-level - DevSecOps Engineer,$80K - $113K (Glassdoor est.),NA,4.4,BOEING,"Berkeley, MO",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,……
Skills: CI/CD, Computer science, Azure, Salt, React",NA
NA,"IC3 Data Scientist, Cornell Tech (NYC)",$52K - $82K (Glassdoor est.),NA,3.4,Cornell University,"New York, NY",10000+ Employees,1865,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),"Advanced degree in data science or related field. Design custom tools to optimize data mining, cleaning, validation, and analysis tasks.…
Skills: Computer science, Data mining, SAS, R, Encryption",NA
NA,Senior Sales Operations Analyst,$62K - $68K (Employer est.),NA,4.0,Nintex,Remote,1001 to 5000 Employees,2006,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),"You will use technical skills and business acumen to develop business growth plans and strategies to improve the productivity of the partner organization and……
Skills: Computer science, Power BI, Microsoft Excel, Sales, Salesforce",NA
NA,"Senior Manager, Statistical Programming",$121K - $202K (Employer est.),NA,3.7,Bristol-Myers Squibb,"Princeton, NJ",10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"This position is primarily responsible for the design, development and implementation of technical solutions for integrating, analyzing and reporting clinical……
Skills: Management, XML, SAS, Military, Data structures",NA
NA,Project Leader - Machine Learning,$91K - $129K (Employer est.),NA,3.4,Milwaukee Electric Tool Corporation,"Brookfield, WI",10000+ Employees,1924,Company - Public,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,"BS in Engineering, Computer Science, a related technical field, or equivalent practical experience. We continue to invest in engineering resources to design and……
Skills: Machine learning, Leadership",NA
NA,"Brand Sales Manager: Data, AI and Automation – Industry Market",$72K - $115K (Glassdoor est.),NA,3.6,IBM,"New York, NY",10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),"You will assume the ownership role for coaching a team of brand sales specialists who have assigned business territory to drive the identification and……
Skills: Sales, Sales management, Forecasting, SaaS, AI",NA
NA,Senior Business Intelligence Developer,$55K - $92K (Glassdoor est.),NA,4.4,Ardent Health Services,United States,10000+ Employees,1993,Company - Private,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),"Participate in architecting Ardent's future state BI environments / developments. The Senior BI Developer will focus on reporting tools in Epic (our electronic……
Skills: Statistics, Power BI, Microsoft Excel, Oracle, Management",NA
NA,Senior Simulation Integration Engineer,$100K - $130K (Employer est.),NA,4.1,BOEING,"Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,……
Skills: Jira, Computer science, MATLAB, Git, Perl",NA
NA,Machine Learning and Environmental Management Postdoctoral Research,$80K - $100K (Employer est.),NA,3.8,Los Alamos National Laboratory,"Los Alamos, NM",10000+ Employees,1943,Government,National Agencies,Government & Public Administration,$500 million to $1 billion (USD),"§ Award-winning 401(k) (6% matching plus 3.5% annually). The successful applicant will have a background in modeling and simulation of subsurface systems with……
Skills: Research, Machine learning, AI, Communication skills, Python",NA
NA,Senior Data Scientist - D/Cipher & Yield,$62K - $90K (Employer est.),NA,4.0,Management Advisor,Remote,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Excellent ability to communicate results and progress to non-technical and technical audiences. Strong programming skills in Python and experience with standard……
Skills: TensorFlow, Statistics, Computer science, Spark, Google Cloud Platform",NA
NA,Senior Systems Engineering Manager,$99K - $181K (Glassdoor est.),NA,3.9,BOEING,"El Segundo, CA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Develop Teams that can leverage advanced Model Based Systems Engineering methods and tools such as CAMEO to develop models, perform complex analysis and trade……
Skills: Succession planning, Product development, Systems engineering, Agile, Data science",NA
NA,"Manager, Advanced Analytics",$53K - $72K (Employer est.),NA,4.2,Walmart,"Hoboken, NJ",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),"Bachelor's degree in Business, Finance, Accounting, Statistics, or related field and 2 years' experience in data analytics or related field OR 4 years'……
Skills: Data mining, R, Data analysis skills, Google Cloud Platform, SQL",NA
NA,Machine Learning Infrastructure Engineer,$25.35 - $40.31 Per Hour (Employer est.),NA,3.5,Normal Computing Corporation,Remote,NA,NA,NA,NA,NA,NA,"Strong written and verbal communication skills, with the ability to explain complex concepts to both technical and non-technical stakeholders.…
Skills: TensorFlow, CI/CD, Kubernetes, Ansible, Big data",NA
